InvoiceId,OrderDate,CustomerName,ShipPostalCode,ShipCity,ShipState,ShipCountry,ShipMode,BalanceDue,SubTotal,DiscountPercent,DiscountAmount,ShippingAmount,InvoiceTotal,OrderId,ProductName,SubCategory,Category,ProductId,Quantity,UnitPrice,ItemSubTotal
20217,2025-04-20,Elina Virtanen,28889,Valencia,Valencian Community,Spain,Same Day,1770.46,1771.33,0.075,132.85,15.11,1770.46,SP-2015-EL3503456-44913,"Laptop Docking Station, USB-C",Accessories,Technology,TEC-AC-8951,3.0,242.0063,726.02
20020,2023-07-04,Corey Catlett,54588,Berlin,Berlin,Germany,First Class,631.67,668.89,0.1,66.89,29.67,631.67,GE-2013-CO4214348-43116,"Smartphone, 128GB (Midnight)",Phones,Technology,TEC-PH-1793,1.0,359.7448,359.74
20219,2023-12-01,Corey Catlett,51931,Tampere,Pirkanmaa,Finland,Standard Class,3173.0,3374.5,0.075,253.09,51.59,3173.0,FI-2013-CO6540893-41295,"Smartphone, 256GB (Silver)",Phones,Technology,TEC-PH-8529,1.0,543.1779,543.18
20159,2025-01-24,Sofia Müller,75038,Ho Chi Minh City,Ho Chi Minh,Vietnam,Same Day,1384.44,1718.62,0.2,343.72,9.54,1384.44,VI-2014-SO9712003-44369,"Laptop Docking Station, USB-C",Accessories,Technology,TEC-AC-3588,5.0,167.6081,838.04
20069,2025-11-06,David Philippe,30329,Barcelona,Catalonia,Spain,Second Class,2010.5,1960.28,,,50.22,2010.5,SP-2012-DA5235884-47827,Gel Pen Set (12 colors),Art,Office Supplies,OFF-AR-4314,1.0,16.3501,16.35
20127,2025-07-30,Sofia Müller,26932,Da Nang,Da Nang,Vietnam,Same Day,891.23,933.78,0.1,93.38,50.83,891.23,VI-2016-SO4860617-48196,"Storage Ottoman, Fabric",Furnishings,Furniture,FUR-FU-3604,2.0,53.0676,106.14
20009,2024-08-21,Mikko Laine,76255,Tampere,Pirkanmaa,Finland,Same Day,80.12,53.31,0.1,5.33,32.14,80.12,FI-2014-MI4679591-42266,"Binder Clips, Medium (Box of 100)",Fasteners,Office Supplies,OFF-FA-5102,1.0,3.6029,3.6
20032,2025-07-24,Elina Virtanen,21367,Tampere,Pirkanmaa,Finland,First Class,1757.93,1707.03,,,50.9,1757.93,FI-2012-EL3500715-48938,Monitor 27in IPS,Accessories,Technology,TEC-AC-3711,1.0,250.9756,250.98
20124,2025-08-25,Corey Catlett,73771,Munich,Bavaria,Germany,Same Day,2263.66,2788.1,0.2,557.62,33.18,2263.66,GE-2015-CO5582979-43531,"Storage Ottoman, Fabric",Furnishings,Furniture,FUR-FU-4836,4.0,131.7679,527.07
20248,2024-01-11,Corey Catlett,32707,Valencia,Valencian Community,Spain,First Class,827.12,857.0,0.075,64.27,34.39,827.12,SP-2015-CO9040224-49539,"Wireless Mouse, Ergonomic",Accessories,Technology,TEC-AC-2559,1.0,26.5126,26.51
20131,2025-01-25,Nguyen Minh Anh,53655,Ho Chi Minh City,Ho Chi Minh,Vietnam,Second Class,3494.04,3845.54,0.1,384.55,33.05,3494.04,VI-2012-NG9564488-41868,"Ergonomic Task Chair, Mesh Back",Chairs,Furniture,FUR-CH-3174,10.0,148.8096,1488.1
20031,2025-07-16,Bruce Degenhardt,15893,Berlin,Berlin,Germany,First Class,2103.23,2057.46,0.0,0.0,45.77,2103.23,GE-2014-BR3194789-44291,"USB-C Charger 65W, GaN",Accessories,Technology,TEC-AC-8291,1.0,15.4434,15.44
20225,2024-07-17,David Philippe,82174,San Francisco,California,United States,Standard Class,2347.07,2521.97,0.075,189.15,14.25,2347.07,UN-2014-DA9197701-48037,"A4 Lever-Arch Binder, 5cm Spine (Blue)",Binders,Office Supplies,OFF-BI-2975,0.0,8.9403,35.76
20188,2025-04-18,Sofia Müller,51845,Tampere,Pirkanmaa,Finland,First Class,3972.31,3943.05,,,-12.34,3972.31,FI-2016-SO2843740-43125,"Archive Storage Box, Letter Size",Storage,Office Supplies,OFF-ST-2160,2.0,10.2783,20.56
20119,2023-06-15,Bruce Degenhardt,88696,Da Nang,Da Nang,Vietnam,Standard Class,2026.86,2233.51,0.1,223.35,16.7,2026.86,VI-2014-BR2738129-49468,"Mechanical Keyboard, TKL",Accessories,Technology,TEC-AC-2678,1.0,87.3024,87.3
20092,2024-02-05,Bruce Degenhardt,13909,Hamburg,Hamburg,Germany,First Class,3923.48,4103.01,0.05,205.15,25.62,3923.48,GE-2014-BR1941524-44806,Monitor 27in IPS,Accessories,Technology,TEC-AC-5902,1.0,247.1619,247.16
20140,2025-02-15,Bruce Degenhardt,96105,Cologne,North Rhine-Westphalia,Germany,Same Day,4284.98,4732.51,0.1,473.25,25.72,4284.98,GE-2013-BR2421349-45072,"Laptop 14in, 16GB RAM",Computers,Technology,TEC-CO-3181,1.0,714.991,714.99
20139,2025-01-05,Daniel Romero,44567,Madrid,Madrid,Spain,Same Day,2496.6,3104.16,0.2,620.83,13.27,2496.6,SP-2014-DA5227787-49874,"Copy Paper, A4 (500 sheets)",Paper,Office Supplies,OFF-PA-1138,10.0,10.8002,108.0
20149,2023-08-16,Aaron Bergman,39431,San Francisco,California,United States,First Class,1223.53,1513.12,0.2,302.62,13.03,1223.53,UN-2014-AA2662338-45493,"Steel File Cabinet, 3-Drawer",Storage,Office Supplies,OFF-ST-6753,2.0,293.5472,587.09
20222,2024-04-23,Corey Catlett,41369,Hanoi,Hanoi,Vietnam,Standard Class,3322.67,3596.6,0.1,359.66,40.68,3322.67,VI-2014-CO7386444-47639,"Standing Desk Converter, 32in",Tables,Furniture,FUR-TA-7745,10.0,313.4325,3134.33
20237,2024-03-16,Mikko Laine,59816,Ho Chi Minh City,Ho Chi Minh,Vietnam,First Class,675.79,784.41,0.15,117.66,9.04,675.79,VI-2016-MI5955645-44037,"Laptop Docking Station, USB-C",Accessories,Technology,TEC-AC-4559,1.0,242.4208,242.42
20008,2024-12-05,Nguyen Minh Anh,85535,Tampere,Pirkanmaa,Finland,Same Day,8056.37,8037.81,0.0,0.0,18.56,8056.37,FI-2015-NG3396987-44339,"Standing Desk Converter, 32in",Tables,Furniture,FUR-TA-3017,10.0,328.2031,3282.03
20077,2024-07-26,Aisha Khan,13986,Valencia,Valencian Community,Spain,Second Class,430.74,470.59,0.1,47.06,7.21,430.74,SP-2016-AI1348050-44415,"Binder Clips, Medium (Box of 100)",Fasteners,Office Supplies,OFF-FA-8035,3.0,6.5375,19.61
20108,2023-09-05,Nguyen Minh Anh,94224,Hamburg,Hamburg,,First Class,2372.6,2324.32,0.0,0.0,48.28,2372.6,GE-2012-NG6595355-43990,"Dining Chair Set (2-Pack), Grey",Chairs,Furniture,FUR-CH-5537,1.0,109.6334,109.63
20097,2024-10-27,Bruce Degenhardt,9438,Valencia,Valencian Community,Spain,Same Day,3402.15,4199.29,0.2,839.86,42.72,3402.15,SP-2014-BR1135861-49272,"Sticky Notes, 76x76mm (Pack of 12)",Paper,Office Supplies,OFF-PA-5668,1.0,17.5663,17.57
20061,2025-11-16,David Philippe,36546,Valencia,Valencian Community,Spain,Standard Class,2963.05,3062.69,0.05,153.13,53.49,2963.05,SP-2014-DA5118725-41419,"USB-C Charger 65W, GaN",Accessories,Technology,TEC-AC-5942,2.0,43.4762,86.95
20146,2025-12-25,Elina Virtanen,35438,Barcelona,Catalonia,Spain,Second Class,2940.06,2899.8,,,40.26,2940.06,SP-2013-EL3321942-44096,"Desk Organizer Tray, Bamboo",Storage,Office Supplies,OFF-ST-4090,4.0,17.4573,69.83
20162,2023-06-27,Daniel Romero,51987,Valencia,Valencian Community,Spain,Same Day,2409.09,2396.24,,,12.85,2409.09,SP-2014-DA9608154-42621,"Oak Bookcase, 5-Shelf",Bookcases,Furniture,FUR-BO-4921,5.0,349.7897,1748.95
20180,2023-04-18,Daniel Romero,33772,Barcelona,Catalonia,Spain,Same Day,3038.53,3190.37,0.05,159.52,7.68,3038.53,SP-2013-DA4609524-49557,"Dining Chair Set (2-Pack), Grey",Chairs,Furniture,FUR-CH-9185,10.0,74.2024,742.02
20185,2023-12-13,Aaron Bergman,61850,Tampere,Pirkanmaa,Finland,Second Class,1410.34,1449.94,0.05,72.5,32.9,1410.34,FI-2015-AA6020319-49727,Monitor 27in IPS,Accessories,Technology,TEC-AC-1197,3.0,401.4988,1204.5
20104,2025-10-07,Bruce Degenhardt,95098,Seattle,Washington,United States,Same Day,6338.71,6316.97,,,21.74,6338.71,UN-2012-BR3345069-40742,"Standing Desk Converter, 32in",Tables,Furniture,FUR-TA-7337,10.0,223.0936,2230.94
20158,2025-03-02,Aisha Khan,95949,Austin,Texas,United States,Standard Class,1078.18,1070.52,0.075,80.29,53.92,1078.18,UN-2014-AI3088344-46029,"Stapler, Heavy Duty",Fasteners,Office Supplies,TEC-AC-12A4,5.0,43.2237,216.12
20051,2023-04-11,Mikko Laine,69957,Tampere,Pirkanmaa,Finland,Same Day,5044.57,6272.65,0.2,1254.53,26.45,5044.57,FI-2012-MI6901533-44892,"Smartphone, 128GB (Midnight)",Phones,Technology,TEC-PH-2195,1.0,652.4181,652.42
20111,2023-04-03,Sofia Müller,54882,Helsinki,Uusimaa,Finland,First Class,834.11,788.1,,,46.01,834.11,FI-2013-SO8062546-48619,"Modular Bookcase, Walnut (6-Cube)",Bookcases,Furniture,FUR-BO-5295,2.0,137.1256,274.25
20019,2024-03-25,Daniel Romero,22704,Ho Chi Minh City,Ho Chi Minh,Vietnam,Same Day,2825.78,2998.13,0.075,224.86,52.51,2825.78,VI-2014-DA8106470-46735,"Oak Bookcase, 5-Shelf",Bookcases,Furniture,FUR-BO-7520,6.0,306.0546,1836.33
20126,2023-03-17,Nguyen Minh Anh,59607,Turku,Southwest Finland,Finland,Second Class,6015.22,6319.6,0.05,315.98,11.6,6015.22,FI-2013-NG5286905-44742,"Wireless Mouse, Ergonomic",Accessories,Technology,TEC-AC-9209,4.0,40.8031,163.21
20041,2025-07-10,Corey Catlett,98778,New York,New York,United States,Second Class,5160.81,5677.73,0.1,567.77,50.85,5160.81,UN-2016-CO6049101-46653,"Premium Sketch Paper Pad, A4 120gsm",Art,Office Supplies,OFF-AR-2350,6.0,14.8284,88.97
20094,2024-07-07,David Philippe,96535,Tampere,Pirkanmaa,Finland,Second Class,1997.25,2138.6,0.075,160.39,19.04,1997.25,FI-2013-DA8736811-44161,"Standing Desk Converter, 32in",Tables,Furniture,FUR-TA-5546,1.0,185.3683,185.37
20182,2023-06-02,Corey Catlett,16705,Ho Chi Minh City,Ho Chi Minh,Vietnam,Second Class,1054.7,1104.83,0.075,82.86,32.73,1054.7,VI-2014-CO5841933-41204,"Desk Organizer Tray, Bamboo",Storage,Office Supplies,OFF-ST-4329,1.0,25.1645,25.16
20013,2024-01-09,Aaron Bergman,41274,Turku,Southwest Finland,Finland,First Class,492.03,480.88,,,11.15,492.03,FI-2016-AA6438436-48005,"Premium Sketch Paper Pad, A4 120gsm",Art,Office Supplies,OFF-AR-2083,2.0,18.3709,36.74
20096,2024-07-26,David Philippe,49599,Da Nang,Da Nang,Vietnam,Second Class,2670.87,2644.89,0.0,0.0,25.98,2670.87,VI-2015-DA9106886-41747,"Mechanical Keyboard, TKL",Accessories,Technology,TEC-AC-4909,1.0,78.0048,78.0
20070,2023-07-31,Mikko Laine,17026,Ho Chi Minh City,Ho Chi Minh,Vietnam,Second Class,4116.43,4104.92,0.0,0.0,11.51,4116.43,VI-2013-MI6097514-41395,"Tablet 10in, 64GB",Accessories,Technology,TEC-AC-8118,1.0,347.7476,347.75
20046,2023-06-12,Elina Virtanen,52762,Helsinki,Uusimaa,Finland,First Class,300.9,313.75,0.15,47.06,34.21,300.9,FI-2015-EL3237058-47612,"Sticky Notes, 76x76mm (Pack of 12)",Paper,Office Supplies,OFF-PA-1901,2.0,14.6573,29.31
20055,2025-07-12,Bruce Degenhardt,20735,Ho Chi Minh City,Ho Chi Minh,Vietnam,Same Day,1494.95,1454.19,0.0,0.0,40.76,1494.95,VI-2012-BR1873851-45733,"USB-C Charger 65W, GaN",Accessories,Technology,TEC-AC-3877,1.0,15.6966,15.7
20238,2025-04-18,Sofia Müller,33535,Madrid,Madrid,Spain,Standard Class,752.65,695.79,,,56.86,752.65,SP-2014-SO2787627-41499,"Standing Desk Converter, 32in",Tables,Furniture,FUR-TA-1185,1.0,248.7804,248.78
20048,2024-07-20,Bruce Degenhardt,78327,Ho Chi Minh City,Ho Chi Minh,Vietnam,Same Day,626.71,582.47,,,44.24,626.71,VI-2013-BR5606980-47206,"Binder Clips, Medium (Box of 100)",Fasteners,Office Supplies,OFF-FA-9568,6.0,6.4809,38.89
20170,2025-06-17,Mikko Laine,29766,Helsinki,Uusimaa,Finland,Second Class,5147.23,5518.72,0.075,413.9,42.41,5147.23,FI-2014-MI2244282-47372,"Mechanical Keyboard, TKL",Accessories,Technology,TEC-AC-5247,1.0,95.2024,95.2
20060,2023-10-04,Corey Catlett,57472,Ho Chi Minh City,Ho Chi Minh,Vietnam,Same Day,4610.79,5384.81,0.15,807.72,33.7,4610.79,VI-2013-CO8306261-42885,"Mechanical Keyboard, TKL",Accessories,Technology,TEC-AC-5403,1.0,149.1431,149.14
20098,2024-10-08,Nguyen Minh Anh,89684,Hamburg,Hamburg,Germany,Standard Class,1320.18,1498.38,0.15,224.76,46.56,1320.18,GE-2013-NG4189885-44106,"Modular Bookcase, Walnut (6-Cube)",Bookcases,Furniture,FUR-BO-6488,4.0,236.9517,947.81
20085,2026-01-05,Sofia Müller,19150,Hanoi,Hanoi,Vietnam,Standard Class,3545.45,3679.28,0.05,183.96,50.13,3545.45,VI-2015-SO6702160-48318,"Ergonomic Task Chair, Mesh Back",Chairs,Furniture,FUR-CH-5308,10.0,253.1585,2531.59
20218,2024-07-07,Nguyen Minh Anh,59518,Helsinki,Uusimaa,Finland,Second Class,1045.36,1002.87,0.075,75.22,58.23,1045.36,FI-2015-NG1966769-49214,"Archive Storage Box, Letter Size",Storage,Office Supplies,OFF-ST-8457,6.0,9.8424,59.05
20211,2025-02-11,Daniel Romero,43492,Turku,Southwest Finland,Finland,Same Day,2964.19,3698.75,0.2,739.75,5.19,2964.19,FI-2016-DA3136529-43648,"Archive Storage Box, Letter Size",Storage,Office Supplies,OFF-ST-3734,3.0,5.9889,17.97
20202,2024-08-17,Corey Catlett,40871,Seattle,Washington,United States,Same Day,6935.9,7656.82,0.1,765.68,44.76,6935.9,UN-2014-CO6530194-44947,"Smartphone, 128GB (Midnight)",Phones,Technology,TEC-PH-2685,10.0,704.4723,7044.72
20086,2024-11-02,Mikko Laine,46006,Valencia,Valencian Community,Spain,Same Day,1627.8,1733.86,0.075,130.04,23.98,1627.8,SP-2013-MI8491822-48824,"Executive Leather Chair, Black",Chairs,Furniture,FUR-CH-4742,6.0,181.8493,1091.1
20199,2025-12-28,David Philippe,45761,Hanoi,Hanoi,Vietnam,Second Class,1361.38,1566.05,0.15,234.91,30.24,1361.38,VI-2012-DA6547958-42662,"Laptop Docking Station, USB-C",Accessories,Technology,TEC-AC-1201,0.0,97.8169,195.63
20174,2025-01-21,Mikko Laine,25499,Tampere,Pirkanmaa,Finland,First Class,6799.88,7114.81,0.05,355.74,40.81,6799.88,FI-2012-MI1762722-49449,"Binder Clips, Medium (Box of 100)",Fasteners,Office Supplies,OFF-FA-7274,1.0,2.2527,2.25
20058,2025-04-08,Corey Catlett,20998,Valencia,Valencian Community,Spain,First Class,1576.77,1799.15,0.15,269.87,47.49,1576.77,SP-2016-CO5074336-41669,"Laptop Docking Station, USB-C",Accessories,Technology,TEC-AC-1579,6.0,226.5296,1359.18
20078,2026-01-27,David Philippe,46459,San Francisco,California,United States,Second Class,4624.47,4593.62,,,30.85,4624.47,UN-2016-DA8312936-48056,"Wireless Mouse, Ergonomic",Accessories,Technology,TEC-AC-7870,2.0,33.8825,67.77
20136,2024-03-21,Aaron Bergman,89414,Hamburg,Hamburg,Germany,Same Day,3073.21,3310.83,0.075,248.31,10.69,3073.21,GE-2016-AA3531028-41013,Gel Pen Set (12 colors),Art,Office Supplies,OFF-AR-6241,2.0,15.564,31.13
20107,2025-08-28,Nguyen Minh Anh,57538,San Francisco,California,United States,First Class,740.53,778.77,0.075,58.41,20.17,740.53,UN-2014-NG7017548-40992,"Copy Paper, A4 (500 sheets)",Paper,Office Supplies,OFF-PA-7108,1.0,9.0245,9.02
20074,2024-06-22,Bruce Degenhardt,87304,Hanoi,Hanoi,Vietnam,Second Class,1403.21,1362.59,0.0,0.0,40.62,1403.21,VI-2015-BR2925626-48922,Monitor 27in IPS,Accessories,Technology,TEC-AC-1862,1.0,202.4918,202.49
20035,2024-07-22,Bruce Degenhardt,18434,Barcelona,Catalonia,Spain,First Class,142.04,126.06,0.0,0.0,15.98,142.04,SP-2015-BR1649691-47711,"Desk Organizer Tray, Bamboo",Storage,Office Supplies,OFF-ST-1752,4.0,10.2056,40.82
20004,2024-10-22,Mikko Laine,57400,Hanoi,Hanoi,Vietnam,Second Class,496.8,594.85,0.2,118.97,20.92,496.8,VI-2012-MI1768805-43733,,Storage,Office Supplies,OFF-ST-5625,2.0,191.2823,382.56
20037,2026-01-08,Corey Catlett,43142,Barcelona,Catalonia,Spain,Standard Class,1515.15,1478.22,0.0,0.0,36.93,1515.15,SP-2012-CO2935113-44279,"Stapler, Heavy Duty",Fasteners,Office Supplies,OFF-FA-8483,1.0,20.3879,20.39
20028,2025-02-13,Daniel Romero,24010,Madrid,Madrid,Spain,Standard Class,1573.49,1923.26,0.2,384.65,34.88,1573.49,SP-2014-DA3646552-47179,"Storage Ottoman, Fabric",Furnishings,Furniture,FUR-FU-5979,10.0,73.9618,739.62
20003,2023-09-16,Aaron Bergman,55197,Hamburg,Hamburg,Germany,Standard Class,1781.56,1723.04,,,58.52,1781.56,GE-2012-AA8707870-48785,"Binder Clips, Medium (Box of 100)",Fasteners,Office Supplies,OFF-FA-9083,2.0,6.1272,12.25
20072,2023-09-21,Nguyen Minh Anh,47759,Turku,Southwest Finland,Finland,Standard Class,4082.53,4047.17,0.0,0.0,35.36,4082.53,FI-2012-NG3634980-43929,"Stapler, Heavy Duty",Fasteners,Office Supplies,OFF-FA-5016,1.0,6.2487,6.25
20010,2024-01-09,Sofia Müller,99307,Berlin,Berlin,Germany,Same Day,4456.32,4776.81,0.075,358.26,37.77,4456.32,GE-2016-SO2065818-46304,Gel Pen Set (12 colors),Art,Office Supplies,OFF-AR-1391,2.0,11.5816,23.16
20244,2025-04-18,Aaron Bergman,67700,Ho Chi Minh City,Ho Chi Minh,Vietnam,Standard Class,262.23,235.84,1.2,11.79,38.18,262.23,VI-2015-AA3283789-44922,"Wireless Headset, Noise Cancelling",Accessories,Technology,TEC-AC-1157,3.0,40.307,120.92
20105,2023-09-17,Nguyen Minh Anh,80457,Hanoi,Hanoi,Vietnam,Second Class,1195.51,1339.16,0.15,200.87,57.22,1195.51,VI-2015-NG8610879-46078,"USB-C Charger 65W, GaN",Accessories,Technology,TEC-AC-7164,2.0,20.7172,41.43
20227,2023-03-15,Corey Catlett,28136,Berlin,Berlin,Germany,Second Class,9893.89,9861.07,0.0,0.0,32.82,9893.89,GE-2012-CO3533857-40149,"Desk Organizer Tray, Bamboo",Storage,Office Supplies,OFF-ST-4902,4.0,23.7449,94.98
20241,2024-07-11,Mikko Laine,78302,Hanoi,Hanoi,Vietnam,Second Class,2920.73,3034.29,0.05,151.71,21.56,2920.73,VI-2015-MI3843767-42274,"Oak Bookcase, 5-Shelf",Bookcases,Furniture,FUR-BO-3332,2.0,220.9317,441.86
20091,2023-05-14,Mikko Laine,18968,Da Nang,Da Nang,Vietnam,Second Class,11063.92,11897.42,0.075,892.31,58.81,11063.92,VI-2014-MI4816586-41480,"Tablet 10in, 64GB",Accessories,Technology,TEC-AC-4792,6.0,332.831,1996.99
20153,2024-07-06,Mikko Laine,74700,Helsinki,Uusimaa,Finland,Second Class,4509.48,4452.04,,,57.44,4509.48,FI-2012-MI9782613-45908,Monitor 27in IPS,Accessories,Technology,TEC-AC-7102,5.0,412.8753,2064.38
20063,2024-09-24,Mikko Laine,26106,Barcelona,Catalonia,Spain,First Class,1975.98,1931.38,0.0,0.0,44.6,1975.98,SP-2016-MI4205394-41402,"Ergonomic Task Chair, Mesh Back",Chairs,Furniture,FUR-CH-2565,6.0,124.7136,748.28
20145,2026-02-27,Nguyen Minh Anh,50562,Hanoi,Hanoi,Vietnam,Same Day,1742.11,1850.51,0.075,138.79,30.39,1742.11,VI-2013-NG7171347-49345,"Laptop 14in, 16GB RAM",Computers,Technology,TEC-CO-7461,1.0,1212.301,1212.3
20064,2024-07-06,David Philippe,74332,Da Nang,Da Nang,Vietnam,Same Day,7164.96,7137.72,0.0,0.0,27.24,7164.96,VI-2012-DA2561176-44820,"Oak Bookcase, 5-Shelf",Bookcases,Furniture,FUR-BO-8126,1.0,284.1796,284.18
20169,2025-10-14,Elina Virtanen,37109,Helsinki,Uusimaa,Finland,First Class,2878.63,3334.22,0.15,500.13,44.54,2878.63,FI-2012-EL6189037-46523,"Bookshelf, Industrial Metal/Wood",Bookcases,Furniture,FUR-BO-6161,4.0,364.7794,1459.12
20195,2024-06-20,Aisha Khan,33233,Turku,Southwest Finland,Finland,Same Day,1124.33,1266.99,0.15,190.05,47.39,1124.33,FI-2014-AI8925622-41647,"Mechanical Keyboard, TKL",Accessories,Technology,TEC-AC-6345,3.0,106.1223,318.37
20196,2025-06-12,David Philippe,72695,Cologne,North Rhine-Westphalia,Germany,Second Class,1375.36,1608.36,0.15,241.25,8.25,1375.36,GE-2014-DA6388299-44676,"Dining Chair Set (2-Pack), Grey",Chairs,Furniture,FUR-CH-2223,2.0,87.2224,174.44
20230,2025-02-24,Bruce Degenhardt,62023,Austin,Texas,United States,First Class,790.62,858.04,0.1,85.8,18.38,790.62,UN-2014-BR7812009-47520,"Smartphone, 128GB (Midnight)",Phones,Technology,TEC-PH-2785,1.0,363.3947,363.39
20183,2023-10-31,Sofia Müller,32772,Helsinki,Uusimaa,Finland,Same Day,4909.25,5118.66,0.05,255.93,46.52,4909.25,FI-2014-SO6688907-49139,"Steel File Cabinet, 3-Drawer",Storage,Office Supplies,OFF-ST-8635,3.0,218.2143,654.64
20155,2023-07-18,Aaron Bergman,41719,Munich,Bavaria,Germany,First Class,2201.44,2177.06,,,24.38,2201.44,GE-2016-AA6578736-42185,"Stapler, Heavy Duty",Fasteners,Office Supplies,OFF-FA-6870,2.0,23.6248,47.25
20045,2025-05-28,Nguyen Minh Anh,29342,Ho Chi Minh City,Ho Chi Minh,Vietnam,First Class,1647.6,1598.37,0.0,0.0,49.23,1647.6,VI-2012-NG8132769-43585,"Steel File Cabinet, 3-Drawer",Storage,Office Supplies,OFF-ST-5341,1.0,110.7431,110.74
20215,2025-12-27,Bruce Degenhardt,40807,Cologne,North Rhine-Westphalia,Germany,Standard Class,5198.42,5416.03,0.05,270.8,53.19,5198.42,GE-2016-BR6379867-43881,"Smartphone, 256GB (Silver)",Phones,Technology,TEC-PH-5984,10.0,480.2474,4802.47
20205,2025-06-30,Elina Virtanen,81812,Helsinki,Uusimaa,Finland,Second Class,1140.68,1196.36,0.075,89.73,34.05,1140.68,FI-2013-EL2373555-48609,"Laptop 14in, 16GB RAM",Computers,Technology,TEC-CO-6370,1.0,736.6523,736.65
20057,2024-08-07,Aaron Bergman,31993,San Francisco,California,United States,First Class,1013.04,1118.48,0.1,111.85,6.41,1013.04,UN-2013-AA6218367-41771,"Dining Chair Set (2-Pack), Grey",Chairs,Furniture,FUR-CH-6828,4.0,162.6919,650.77
20175,2023-05-03,David Philippe,91609,Helsinki,Uusimaa,Finland,Standard Class,2321.35,2839.94,0.2,567.99,49.4,2321.35,FI-2014-DA9102469-44012,"USB-C Charger 65W, GaN",Accessories,Technology,TEC-AC-5896,2.0,60.1049,120.21
20164,2025-09-08,Aaron Bergman,58875,Cologne,North Rhine-Westphalia,Germany,Same Day,4499.96,4708.49,0.05,235.42,26.89,4499.96,GE-2012-AA3310140-48674,"Executive Desk, L-Shape (Espresso)",Tables,Furniture,FUR-TA-1509,4.0,848.2209,3392.88
20226,2023-12-13,Elina Virtanen,40003,Madrid,Madrid,Spain,Second Class,1139.29,1088.14,,,51.15,1139.29,SP-2016-EL1985360-48584,"Stapler, Heavy Duty",Fasteners,Office Supplies,OFF-FA-5093,1.0,24.0197,24.02
20207,2024-04-25,Mikko Laine,74071,Hanoi,Hanoi,Vietnam,First Class,3008.96,3239.68,0.075,242.98,12.26,3008.96,VI-2016-MI8473959-40911,"Smartphone, 256GB (Silver)",Phones,Technology,TEC-PH-3290,1.0,458.9677,458.97
